city,district,voivodeship,localization_y,localization_x,market,area,rent,rooms,floor,floors,state,build_yr,build_type,build_material,parking,parking_spots,kitchen,windows,ownership,transport,education,health,recreation,other,other2,additional_area,bathroom,installation,noise,heating,media,direction,price,url
£ódŸ,Œródmieœcie,³ódzkie,51.7717005,19.444958,wtorny,97.60,,4,2,4,,1903,kamienica,ceg³a,,,,,w³asnoœæ,,,,,,,piwnica,,,,,,,439000,https://gratka.pl/nieruchomosci/mieszkanie-lodz-srodmiescie-ul-wieckowskiego/ob/19180601
£ódŸ,Œródmieœcie,³ódzkie,51.7709492,19.4617189,wtorny,54.24,,2,3,,,,kamienica,,,,,,,,,,,,,,,,,,,,285000,https://gratka.pl/nieruchomosci/mieszkanie-lodz-srodmiescie/ob/18907967
Warszawa,Bielany,mazowieckie,52.2775,20.94722222,wtorny,67.37,,4,1,4,,1960,blok,rama H,,,,,,,,,,,,balkon*piwnica,,,,,,,702000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bielany-ul-kochanowskiego/ob/18701517
Warszawa,Œródmieœcie,mazowieckie,52.2336097329349,21.0207709359543,wtorny,53,,2,parter,4,,1965,blok,,,,,,,,,,,,,balkon*piwnica,,,,,,,790000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie-ul-foksal/ob/18580811
Warszawa,Bia³o³êka,mazowieckie,52.3177549,20.9964169,wtorny,60.66,,3,4,5,,2020,blok,,,,,,w³asnoœæ,,,,,,,balkon,,,,,,,437296,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-bialoleka-ul-wyspiarska/ob/18590693
Otwock,otwocki,mazowieckie,52.0966296,21.2461095,wtorny,69.06,,3,1,2,,2012,blok,ceg³a,,,oddzielna,,w³asnoœæ,,,,,,,balkon,,,,,,,470000,https://gratka.pl/nieruchomosci/mieszkanie-otwock-ul-hallera/ob/18776569
Olsztyn,warmiñsko-mazurskie,,53.803093763957,20.5394777048433,wtorny,62.08,,3,1,3,,,blok,,,,,,w³asnoœæ,,,,,,,,,,,,,,329000,https://gratka.pl/nieruchomosci/mieszkanie-olsztyn-ul-zimowa/ob/18787871
Zgierz,zgierski,³ódzkie,51.8632496795312,19.3813866652768,wtorny,60.28,,3,4,4,do odœwie¿enia,1986,blok,p³yta,w gara¿u,,oddzielna,,w³asnoœæ,,,,,,,,,,,,,,255000,https://gratka.pl/nieruchomosci/mieszkanie-zgierz-ul-tadeusza-boya-zelenskiego/ob/16980969
Opole,Wójtowa Wieœ,opolskie,50.64565958,17.9010103,wtorny,85,,4,1,1,,,,,,,,,,,,,,,,taras,,,,,,,349000,https://gratka.pl/nieruchomosci/mieszkanie-opole-wojtowa-wies/ob/18334693
Warszawa,Œródmieœcie,mazowieckie,52.2316846746548,21.0009460959341,wtorny,103.70,,4,5,7,wysoki standard,2008,apartamentowiec,ceg³a,,1,,,w³asnoœæ,,,,,,,balkon,,,,,,,1599000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie-ul-sienna/ob/18432103
Wroc³aw,Strachowice,dolnoœl¹skie,51.10805556,16.9,pierwotny,23.04,,2,1,4,,,apartamentowiec,,,,,,,,,,,,,balkon,,,,,,,178500,https://gratka.pl/nieruchomosci/nowe-mieszkanie-wroclaw-strachowice/ob/18428071
Warszawa,W³ochy,mazowieckie,52.208861,20.896804,wtorny,65,,3,parter,6,,2014,,,,,,,w³asnoœæ,,,,,,,,,,,,,,649900,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-wlochy-ul-kraszewskiego/ob/19435145
Kraków,Os. Pr¹dnik Czerwony,ma³opolskie,50.0941724,19.98190008,wtorny,61,,3,3,4,,2017,blok,,,,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,640000,https://gratka.pl/nieruchomosci/mieszkanie-krakow-os-pradnik-czerwony-ul-reduta/ob/19360473
Bytom,œl¹skie,,50.348439,18.929208,wtorny,52,,2,1,,wysoki standard,,kamienica,ceg³a,przynale¿ne na ulicy,,oddzielna,,spó³dzielcze w³asnoœciowe z KW,,,,,,,,osobne WC,,,,,,199000,https://gratka.pl/nieruchomosci/mieszkanie-bytom/ob/18923677
Bydgoszcz,Fordon,kujawsko-pomorskie,53.147002,18.1273341,pierwotny,32.65,,2,1,4,,2022,apartamentowiec,ceg³a,,1,,,,,,,,,,,,,,,,,223653,https://gratka.pl/nieruchomosci/nowe-mieszkanie-bydgoszcz-fordon-ul-akademicka/ob/18750219
